a,at
acercamiento,approach
aéreas,air
aéreo,air
aerolínea,airline
aeronaves,aircraft
aeropuerto,airport
Ahome,Ahome
algún,some
algunos,some
aviso,notice
Ayuntamiento,local government
Baja,Baja
California,California
cancela,canceled
cancelación,cancellation
cancelacíon,cancellation
cancelada,cancelled
cancelado,canceled
cargo,position
casa,house
cede,give up
ciudad,city
comentó,told
compañía,company
compañía,company
comunicaron,communicated
con,with
con,with
confirmó,confirmed
contaban,told
correo,mail
corroborado,corroborated
cuyo,whose
de,of
debido,because
del,of the
demanda,demand
destino,destination
detalles,details
día,day
difícil,difficult
dirección,direction
director,director
Economía,economy
editorial,editorial
el,the
electrónico,electronic
embargo,confiscate
empresarios,business owners
en,in
en,in
es,is
ese,that one
específico,specific
esta,this
esta,this
está,is
este,this
facilitar,to facilitate
facultades,departments
fue,was
fue,went
fuera,out
fuerte,strong
funcionario,civil servant
general,general
hay,there is
hecho,done
hecho,done
indicó,indicated
información,information
informó,informed
internacional,international
internos,internal
la,the
las,the
las,the
le,him/her
lo,that which is
logró,managed
los,the
mañana,tomorrow
manifestó,said
más,more
matrículas,enrollments
menos,less
misma,same
mismo,same
municipal,municipal
muy,very
ninguna,no
no,no
no,not
obstante,nevertheless
obtener,to obtain
ocasión,occassion
operación,operation
para,for
pero,but
personal,personal
personal,personal
por,for
por,for
portan,carry
previo,previous
probablemente,probably
proporcionó,provided
pudo,could
puerto,port
puesto,position
que,that
quedaron,stayed
ramo,bunch
realiza,make
recientemente,recently
reglamentos,regulations
relacionada,related
reporteros,reporters
respecto,respect
respuesta,answer
ruta,route
ruta,route
sale,salts
se,his own
ser,to be
sería,would
sin,without
Sinaloa,Sinaloa
sino,but
situación,situation
solamente,only
solicitar,to solicit
solo,single
su,his/her
suceso,event
sus,their
también,also
teléfonos,telephones
tenido,had
tiempo,time
Tijuana,Tijuana
trata,be about
tuvo,had
una,a
una,one
unidades,units
valle,valley
varados,broke
varios,various
viajeros,travellers
vivieron,lived
Volaris,Volaris
vuelo,flight
y,and
